fold,epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1,lr,is_best
4,1,558.623275,114.636079,31.6757,39.1304,34.7978,0.001,1
4,2,453.427214,116.68775,42.7915,43.1438,39.7252,0.001,1
4,3,411.604847,107.420748,49.603,52.6756,51.1403,0.001,1
4,4,393.49128,101.628946,53.1132,54.5151,50.5396,0.001,0
4,5,378.206813,104.086366,57.5846,52.5084,51.2522,0.001,1
4,6,367.122835,95.297667,60.8441,57.5251,56.1451,0.001,1
4,7,359.732432,95.542038,61.4292,59.0301,55.5612,0.001,0
4,8,345.314478,94.184863,64.3126,60.0334,56.5736,0.001,1
4,9,337.074353,101.349014,65.7334,57.6923,54.5103,0.001,0
4,10,327.81745,103.027273,68.7422,57.3579,55.5935,0.001,0
4,11,316.762878,91.22146,71.6674,65.2174,65.4545,0.001,1
4,12,310.106938,85.007825,73.0046,70.0669,69.7152,0.001,1
4,13,294.029387,85.113247,77.6431,73.7458,73.5803,0.001,1
4,14,290.301689,85.869034,78.27,70.2341,70.312,0.001,0
4,15,272.968956,82.887956,81.3205,74.5819,74.415,0.001,1
4,16,263.485215,83.597773,82.6995,75.9197,75.9328,0.001,1
4,17,257.683263,78.32852,85.5412,75.9197,76.0707,0.001,1
4,18,252.013257,82.423529,86.8366,75.5853,75.2719,0.001,0
4,19,242.519517,81.210098,87.2545,77.2575,77.3195,0.001,1
4,20,233.992135,79.320233,88.7171,78.7625,78.6657,0.001,1
4,21,227.559833,77.400316,90.4722,77.9264,77.6849,0.001,0
4,22,225.212266,75.617021,91.099,78.4281,78.1255,0.001,0
4,23,221.123986,73.095981,91.308,80.7692,80.8186,0.001,1
4,24,215.700835,76.081174,91.9766,79.4314,79.435,0.001,0
4,25,209.760038,75.109989,93.0213,79.7659,79.772,0.001,0
4,26,205.293853,73.247011,94.1078,81.9398,81.9474,0.001,1
4,27,207.495756,72.37819,93.8571,81.4381,81.2956,0.001,0
4,28,199.293652,75.458936,95.1107,79.2642,79.0059,0.001,0
4,29,197.77031,73.987316,94.9854,81.9398,81.7759,0.001,0
4,30,192.05224,70.639002,96.0301,81.7726,81.8059,0.001,0
4,31,177.790059,66.01975,97.242,84.9498,84.9488,0.0005,1
4,32,170.03556,65.000592,98.412,86.4548,86.3699,0.0005,1
4,33,169.005756,68.065685,98.2867,84.6154,84.5555,0.0005,0
4,34,165.006166,66.063411,98.621,85.2843,85.3551,0.0005,0
4,35,163.41137,64.792499,98.8717,84.6154,84.6448,0.0005,0
4,36,162.327746,65.528588,99.0807,85.1171,85.1227,0.0005,0
4,37,157.530062,63.454845,99.6239,84.7826,84.8038,0.00025,0
4,38,155.434961,63.74029,99.6239,84.7826,84.7931,0.00025,0
4,39,155.009838,64.45391,99.5821,85.1171,85.1318,0.00025,0
4,40,154.440304,63.961427,99.415,84.4482,84.4848,0.00025,0
4,41,151.640124,64.354287,99.9582,84.7826,84.7759,0.000125,0
4,42,151.226257,63.168226,99.8328,84.9498,84.9555,0.000125,0
